id,match_id,region,game_mode,elo,version,blue_one,blue_two,blue_three,blue_four,blue_five,red_one,red_two,red_three,red_four,red_five,winning_team
1967,NA1_5033140306,NA1,ARAM,UNRANKED,14.13.598.9749,Syndra,Chogath,Riven,Maokai,Seraphine,Illaoi,Malphite,RekSai,Tristana,Vex,1
1968,NA1_5033117684,NA1,ARAM,UNRANKED,14.13.598.9749,Lucian,Zyra,Zed,Sejuani,Rakan,Skarner,Thresh,Nidalee,KogMaw,Maokai,0
1969,NA1_5033071158,NA1,ARAM,UNRANKED,14.13.598.9749,Sion,Senna,KSante,Darius,Cassiopeia,Yone,Kayle,Orianna,Malphite,Volibear,0
1970,NA1_5031915467,NA1,ARAM,UNRANKED,14.13.598.9749,Jhin,Garen,Ziggs,Zeri,Seraphine,Akali,Darius,Tristana,Nilah,Kennen,0
1971,NA1_5031891549,NA1,ARAM,UNRANKED,14.13.598.9749,Ashe,Ahri,Malphite,FiddleSticks,Graves,Pantheon,Varus,Akali,Urgot,Brand,0
1972,NA1_5031877702,NA1,ARAM,UNRANKED,14.13.598.9749,Seraphine,Rammus,Graves,Tristana,Nautilus,Heimerdinger,Garen,Sivir,Ezreal,Darius,0
1974,NA1_5031415112,NA1,ARAM,UNRANKED,14.13.598.9749,Ezreal,Sylas,Sona,Poppy,Aphelios,LeeSin,Leblanc,TwistedFate,Malphite,Alistar,0
1975,NA1_5031391271,NA1,ARAM,UNRANKED,14.13.598.9749,Orianna,Senna,Swain,Sylas,Zed,Zilean,Zeri,Nocturne,Kennen,MissFortune,1
1976,NA1_5034756399,NA1,ARAM,UNRANKED,14.13.598.9749,Nautilus,Nidalee,Aatrox,Janna,Brand,RekSai,Ashe,Lux,Zed,Ryze,0
1977,NA1_5034744476,NA1,ARAM,UNRANKED,14.13.598.9749,Graves,Lillia,Quinn,Ornn,Kaisa,Lissandra,Fiora,Vi,Darius,Teemo,0
1978,NA1_5034732425,NA1,ARAM,PLATINUM IV,14.13.598.9749,Ekko,Vi,Nidalee,Ashe,Nami,Irelia,Veigar,Zyra,Khazix,Pyke,0
1981,NA1_5034385080,NA1,ARAM,UNRANKED,14.13.598.9749,Sona,Brand,Viktor,Tristana,Veigar,Yasuo,Lulu,Zoe,Kayn,DrMundo,0
1982,NA1_5034364686,NA1,ARAM,UNRANKED,14.13.598.9749,Caitlyn,Udyr,Lux,Ryze,Lissandra,Azir,Volibear,MasterYi,Soraka,Kayle,1
1983,NA1_5034357168,NA1,ARAM,EMERALD III,14.13.598.9749,Ryze,Shen,AurelionSol,Vayne,Braum,Leblanc,Jhin,Caitlyn,Illaoi,Poppy,0
1990,NA1_5034123993,NA1,ARAM,UNRANKED,14.13.598.9749,Shen,Kaisa,Syndra,Draven,Caitlyn,Kindred,Senna,Braum,Xayah,Fizz,0
1991,NA1_5034111074,NA1,ARAM,GOLD III,14.13.598.9749,Milio,Kaisa,Ezreal,Vi,Aatrox,MonkeyKing,Aphelios,Yuumi,Leblanc,Zeri,1
2617,NA1_5034725318,NA1,ARAM,UNRANKED,14.13.598.9749,Lulu,Syndra,Illaoi,Morgana,Taliyah,Tristana,Briar,Veigar,Belveth,Teemo,1
1993,NA1_5033459657,NA1,ARAM,SILVER III,14.13.598.9749,Morgana,Jhin,TwistedFate,Katarina,Gragas,Zac,Taliyah,Vladimir,Kalista,Kayle,1
1994,NA1_5034504789,NA1,ARAM,UNRANKED,14.13.598.9749,Malphite,Zac,Orianna,Senna,Ezreal,Gnar,Morgana,Katarina,Leblanc,Kennen,0
1995,NA1_5034486046,NA1,ARAM,PLATINUM III,14.13.598.9749,Rammus,Ryze,Draven,Velkoz,Karthus,LeeSin,Amumu,Orianna,Xayah,Senna,0
1996,NA1_5034439697,NA1,ARAM,UNRANKED,14.13.598.9749,Hwei,Graves,Vladimir,Skarner,Samira,Kayle,Yuumi,TahmKench,Annie,Ekko,1
1997,NA1_5034428086,NA1,ARAM,UNRANKED,14.13.598.9749,Varus,Kaisa,Leblanc,Braum,Kindred,Smolder,MissFortune,Pantheon,Xerath,Nami,0
1998,NA1_5034404952,NA1,ARAM,UNRANKED,14.13.598.9749,Ekko,Khazix,Galio,Chogath,Sivir,Riven,Janna,Aatrox,Akshan,Orianna,1
1999,NA1_5033375925,NA1,ARAM,PLATINUM I,14.13.598.9749,Urgot,Leona,Leblanc,Volibear,Akshan,Xerath,Gwen,Irelia,Ashe,Chogath,0
2000,NA1_5033361733,NA1,ARAM,GOLD IV,14.13.598.9749,Zilean,Kennen,Pantheon,Skarner,Kalista,Kayle,Irelia,Leona,Brand,AurelionSol,0
2001,NA1_5033368762,NA1,ARAM,UNRANKED,14.13.598.9749,Yone,Katarina,Soraka,Morgana,JarvanIV,Senna,Warwick,Nasus,Zilean,Briar,0
